No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,8.89B,-,48.93,2.04%,"4,294,468"
3,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,18.40,0.11%,"2,583,640"
4,AAC,Ares Acquisition Corporation,Financial,Shell Companies,USA,1.27B,47.53,10.22,0.20%,"802,659"
5,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,54.75M,-,1.78,0.59%,"8,262"
6,AACI,Armada Acquisition Corp. I,Financial,Shell Companies,USA,207.53M,-,10.05,-0.15%,"32,463"
7,AACIW,Armada Acquisition Corp. I,Financial,Shell Companies,USA,-,-,0.10,-2.82%,"39,725"
8,AADI,"Aadi Bioscience, Inc.",Healthcare,Biotechnology,USA,284.74M,-,11.82,-0.67%,"103,105"
9,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,49.67,-0.22%,"1,091"
10,AAIC,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,85.66M,45.61,3.01,0.00%,"97,537"
11,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,11.18B,508.79,16.79,1.70%,"17,435,378"
12,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,48.68M,18.97,2.39,-1.24%,"1,955"
13,AAN,"The Aaron's Company, Inc.",Industrials,Rental & Leasing Services,USA,464.20M,29.44,14.84,0.20%,"171,852"
14,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,76.41M,-,2.70,2.27%,"165,741"
15,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,4.21B,62.30,78.25,0.58%,"201,144"
16,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,8.94B,19.39,150.76,-0.94%,"954,397"
17,AAPD,Direxion Daily AAPL Bear 1X Shares,Financial,Exchange Traded Fund,USA,-,-,25.61,0.55%,"128,768"
18,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2421.68B,26.03,153.20,-0.42%,"60,318,993"
19,AAPU,Direxion Daily AAPL Bull 1.5X Shares,Financial,Exchange Traded Fund,USA,-,-,21.12,-0.80%,"80,615"
20,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.60B,38.21,26.40,-0.34%,"268,894"
22,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,2.90B,8.26,102.21,0.01%,"193,079"
23,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,69.53,-0.30%,"455,978"
24,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,4.24B,12.26,41.53,2.82%,"490,675"
25,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,66.89B,25.57,33.81,-0.73%,"2,021,574"
26,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,263.91B,20.33,152.59,-0.74%,"4,627,622"
27,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,31.03B,19.11,157.36,-0.79%,"1,100,381"
28,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,3.36B,9.71,48.48,-0.72%,"225,133"
29,ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,2.84B,12.48,9.97,2.05%,"1,420,309"
30,ABCM,Abcam plc,Healthcare,Biotechnology,United Kingdom,3.52B,420.28,15.13,-0.26%,"345,990"
31,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,41.71M,-,2.40,-2.04%,"82,312"
32,ABEQ,Absolute Select Value ETF,Financial,Exchange Traded Fund,USA,-,-,28.56,-0.28%,"10,335"
33,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,39.55B,15.96,2.49,-0.80%,"28,392,996"
34,ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,5.16B,5.22,233.19,0.41%,"186,247"
35,ABGI,ABG Acquisition Corp. I,Financial,Shell Companies,USA,196.39M,-,10.16,0.00%,564
36,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,30.10M,-,2.07,2.48%,"30,550"
37,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,3.09B,14.29,48.73,0.29%,"245,854"
38,ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,USA,80.80B,50.43,120.87,3.82%,"16,008,622"
39,ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,228.59M,-,5.47,-0.73%,"129,714"
40,ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,2.52B,9.05,14.89,-0.73%,"1,310,509"
42,ABST,Absolute Software Corporation,Technology,Software - Application,Canada,835.62M,-,11.40,0.00%,"52,675"
43,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,186.86B,27.33,107.26,-1.16%,"4,237,896"
44,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,436.64M,-,2.71,1.12%,"812,607"
45,ABVC,"ABVC BioPharma, Inc.",Healthcare,Biotechnology,USA,20.87M,-,0.71,2.05%,"9,389"
46,AC,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,830.99M,-,36.90,0.24%,"2,965"
47,ACA,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,2.83B,28.35,58.32,0.00%,"85,934"
48,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,3.12B,-,19.10,-0.42%,"681,624"
49,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,379.83M,-,0.93,1.45%,"5,095,658"
50,ACCD,"Accolade, Inc.",Healthcare,Health Information Services,USA,879.49M,-,12.01,7.71%,"425,561"
51,ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA,551.93M,29.15,5.80,-8.52%,"970,088"
52,ACDC,ProFrac Holding Corp.,Energy,Oil & Gas Equipment & Services,USA,3.15B,53.56,21.69,2.17%,"288,790"
53,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,804.66M,12.79,9.35,-0.64%,"150,828"
54,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,34.90M,-,2.12,-1.85%,"86,602"
55,ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,50.94,0.95%,"28,291"
56,ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,USA,324.58M,-,7.63,-8.18%,"558,484"
57,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,24.47B,21.23,66.28,1.58%,"4,623,190"
58,ACGLN,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,24.14B,4.23,19.83,0.25%,"78,286"
59,ACGN,"Aceragen, Inc.",Healthcare,Biotechnology,USA,42.75M,-,4.92,-0.61%,"6,002"
60,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA,7.26B,26.19,80.89,-0.26%,"363,423"
62,ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,USA,675.97M,-,2.81,6.04%,"5,382,310"
63,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,101.85M,-,5.80,3.94%,"114,327"
64,ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,USA,11.23B,8.61,21.15,-0.61%,"2,601,270"
65,ACIO,Aptus Collared Income Opportunity ETF,Financial,Exchange Traded Fund,USA,-,-,30.11,-0.33%,"31,998"
66,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,202.89M,-,2.31,-3.35%,"53,380"
67,ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA,3.00B,19.47,26.83,-1.47%,"434,184"
68,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,4.22B,23.34,127.47,-0.67%,"751,648"
69,ACLX,"Arcellx, Inc.",Healthcare,Biotechnology,USA,1.33B,-,30.15,-0.76%,"370,259"
70,ACM,AECOM,Industrials,Engineering & Construction,USA,12.70B,35.96,91.11,0.95%,"1,172,105"
71,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,835.21M,21.53,13.89,5.55%,"910,825"
72,ACN,Accenture plc,Technology,Information Technology Services,Ireland,188.28B,25.86,284.77,-1.24%,"1,610,839"
73,ACNB,ACNB Corporation,Financial,Banks - Regional,USA,315.55M,9.06,37.61,-2.03%,"2,980"
74,ACNT,Ascent Industries Co.,Basic Materials,Steel,USA,117.53M,3.88,11.40,0.09%,"4,854"
75,ACON,"Aclarion, Inc.",Healthcare,Health Information Services,USA,6.32M,-,0.80,-1.25%,"34,902"
76,ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,20.53M,-,0.85,-2.86%,"84,905"
77,ACP,Abrdn Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,USA,207.82M,4.01,8.38,-1.30%,"373,928"
78,ACQR,Independence Holdings Corp.,Financial,Shell Companies,USA,630.65M,33.04,10.18,0.00%,"389,194"
79,ACQRU,Independence Holdings Corp.,Financial,Shell Companies,USA,631.04M,78.23,10.17,0.00%,0
80,ACR,ACRES Commercial Realty Corp.,Real Estate,REIT - Mortgage,USA,84.35M,15.57,9.64,1.90%,"6,670"
82,ACRO,Acropolis Infrastructure Acquisition Corp.,Financial,Shell Companies,USA,431.98M,-,10.06,0.00%,0
83,ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA,856.88M,-,13.25,-2.07%,"1,214,154"
84,ACRV,"Acrivon Therapeutics, Inc.",Healthcare,Biotechnology,USA,484.53M,-,23.20,1.31%,"107,726"
85,ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,12.53M,0.26,1.61,-4.17%,"248,727"
86,ACST,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,39.74M,-,0.66,3.28%,"92,798"
87,ACT,"Enact Holdings, Inc.",Financial,Insurance - Specialty,USA,3.99B,5.67,24.46,-0.65%,"158,700"
88,ACTG,Acacia Research Corporation,Industrials,Specialty Business Services,USA,182.42M,-,4.21,-0.47%,"78,260"
89,ACU,Acme United Corporation,Consumer Defensive,Household & Personal Products,USA,88.11M,15.70,24.20,0.81%,"22,669"
90,ACV,Virtus Diversified Income & Convertible Fund,Financial,Asset Management,USA,234.31M,-,22.61,-0.31%,"25,435"
91,ACVA,ACV Auctions Inc.,Consumer Cyclical,Auto & Truck Dealerships,USA,1.76B,-,11.05,7.28%,"1,420,485"
92,ACWF,iShares MSCI Global Multifactor ETF,Financial,Exchange Traded Fund,USA,-,-,33.98,0.15%,"19,003"
93,ACWI,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,-,-,91.81,0.05%,"3,558,273"
94,ACWV,iShares MSCI Global Min Vol Factor ETF,Financial,Exchange Traded Fund,USA,-,-,95.87,-0.62%,"185,614"
95,ACWX,iShares MSCI ACWI ex U.S. ETF,Financial,Exchange Traded Fund,USA,-,-,49.23,0.06%,"2,716,794"
96,ACXP,"Acurx Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,40.84M,-,3.53,3.52%,"20,106"
97,ADAG,Adagene Inc.,Healthcare,Biotechnology,China,82.28M,-,1.87,-0.53%,"5,199"
98,ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,276.87M,-,1.66,7.10%,"247,755"
99,ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA,175.25B,37.43,377.90,0.77%,"2,471,541"
100,ADC,Agree Realty Corporation,Real Estate,REIT - Retail,USA,6.28B,40.37,71.78,-1.58%,"930,699"
102,ADD,"Color Star Technology Co., Ltd.",Communication Services,Entertainment,USA,9.71M,-,1.64,-0.88%,"66,806"
103,ADEA,Adeia Inc.,Technology,Software - Application,USA,1.10B,-,10.79,-2.09%,"256,429"
104,ADER,26 Capital Acquisition Corp.,Financial,Shell Companies,USA,362.57M,40.71,10.38,0.58%,"16,399"
105,ADES,"Advanced Emissions Solutions, Inc.",Industrials,Pollution & Treatment Controls,USA,65.42M,-,3.24,-0.61%,"40,013"
106,ADEX,Adit EdTech Acquisition Corp.,Financial,Shell Companies,USA,353.28M,136.53,10.24,0.00%,0
107,ADI,"Analog Devices, Inc.",Technology,Semiconductors,USA,92.55B,34.63,182.54,1.16%,"3,779,720"
108,ADIL,"Adial Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,10.84M,-,0.37,-4.04%,"63,573"
109,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,44.11B,10.62,81.78,-0.15%,"2,379,572"
110,ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,USA,786.10M,-,3.59,-1.91%,"2,345,093"
111,ADME,Aptus Drawdown Managed Equity ETF,Financial,Exchange Traded Fund,USA,-,-,34.63,-0.43%,"17,750"
112,ADMP,Adamis Pharmaceuticals Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,USA,34.23M,-,0.26,-7.71%,"559,388"
113,ADN,"Advent Technologies Holdings, Inc.",Utilities,Utilities - Renewable,USA,96.67M,-,1.84,-0.54%,"256,813"
114,ADNT,Adient plc,Consumer Cyclical,Auto Parts,Ireland,4.21B,-,42.90,1.63%,"786,296"
115,ADOC,Edoc Acquisition Corp.,Financial,Shell Companies,USA,51.68M,-,10.70,0.00%,0
116,ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USA,92.27B,29.84,224.59,-1.22%,"1,581,316"
117,ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,1.24B,-,8.68,-0.12%,"639,362"
118,ADPV,Adaptiv Select ETF,Financial,Exchange Traded Fund,USA,-,-,25.50,-0.10%,"32,296"
119,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Financial,Exchange Traded Fund,USA,-,-,42.12,0.36%,"14,299"
120,ADSE,ADS-TEC Energy PLC,Industrials,Electrical Equipment & Parts,Ireland,157.39M,-,3.10,7.64%,"31,576"
122,ADT,ADT Inc.,Industrials,Security & Protection Services,USA,7.55B,-,8.30,-0.48%,"1,479,032"
123,ADTH,"AdTheorent Holding Company, Inc.",Communication Services,Advertising Agencies,USA,150.41M,4.05,1.71,1.18%,"56,438"
124,ADTHW,"AdTheorent Holding Company, Inc.",Communication Services,Advertising Agencies,USA,-,-,0.20,16.62%,14
125,ADTN,"ADTRAN Holdings, Inc.",Technology,Communication Equipment,USA,1.33B,-,17.27,-1.82%,"483,154"
126,ADTX,"Aditxt, Inc.",Healthcare,Biotechnology,USA,6.08M,-,1.37,7.80%,"148,509"
127,ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA,1.66B,38.15,104.90,-1.76%,"66,277"
128,ADV,Advantage Solutions Inc.,Communication Services,Advertising Agencies,USA,736.52M,11.55,2.46,2.07%,"370,001"
129,ADVM,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology,USA,65.56M,-,0.63,0.48%,"251,634"
130,ADX,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA,1.86B,2.83,15.81,-0.13%,"181,912"
131,ADXN,Addex Therapeutics Ltd,Healthcare,Biotechnology,Switzerland,29.15M,-,1.38,1.84%,"137,118"
132,AE,"Adams Resources & Energy, Inc.",Energy,Oil & Gas Integrated,USA,140.94M,19.65,60.49,3.05%,"31,610"
133,AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,USA,21.57B,21.32,85.20,-0.75%,"882,543"
134,AEF,Abrdn Emerging Markets Equity Income Fund Inc,Financial,Asset Management,United Kingdom,289.29M,-,5.70,0.35%,"42,259"
135,AEG,Aegon N.V.,Financial,Insurance - Diversified,Netherlands,11.82B,36.80,5.52,-1.25%,"1,723,286"
136,AEHL,Antelope Enterprise Holdings Limited,Industrials,Building Products & Equipment,China,10.12M,-,0.82,2.56%,"18,099"
137,AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,1.01B,78.39,33.63,5.75%,"1,548,198"
138,AEI,Alset Inc.,Real Estate,Real Estate - Development,USA,13.99M,-,1.94,-2.02%,"82,730"
139,AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,USA,3.57B,17.91,95.93,0.35%,"93,523"
140,AEL,American Equity Investment Life Holding Company,Financial,Insurance - Life,USA,4.05B,3.47,47.56,0.04%,"426,211"
142,AEMD,"Aethlon Medical, Inc.",Healthcare,Medical Devices,USA,12.30M,-,0.52,-3.59%,"118,714"
143,AENZ,Aenza S.A.A.,Industrials,Engineering & Construction,Peru,182.50M,-,2.92,-0.34%,536
144,AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,USA,3.00B,28.12,16.03,0.06%,"2,074,443"
145,AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,USA,45.43B,18.76,90.48,-0.67%,"1,989,621"
146,AER,AerCap Holdings N.V.,Industrials,Airports & Air Services,Ireland,15.48B,-,63.01,2.12%,"482,337"
147,AES,The AES Corporation,Utilities,Utilities - Diversified,USA,17.20B,-,26.29,-0.23%,"1,990,735"
148,AESC,The AES Corporation,Utilities,Utilities - Diversified,USA,17.28B,-,95.53,-0.10%,"48,974"
149,AESR,Anfield U.S. Equity Sector Rotation ETF,Financial,Exchange Traded Fund,USA,-,-,11.98,0.24%,"10,232"
150,AEVA,"Aeva Technologies, Inc.",Consumer Cyclical,Auto Parts,USA,364.48M,-,1.68,1.82%,"937,685"
151,AEY,"ADDvantage Technologies Group, Inc.",Technology,Electronics & Computer Distribution,USA,20.42M,-,1.45,-1.36%,"18,987"
152,AEYE,"AudioEye, Inc.",Technology,Software - Application,USA,86.40M,-,6.75,3.85%,"22,924"
153,AEZS,Aeterna Zentaris Inc.,Healthcare,Biotechnology,USA,17.60M,-,3.45,-2.40%,"23,167"
154,AFB,"AllianceBernstein National Municipal Income Fund, Inc.",Financial,Closed-End Fund - Debt,USA,314.18M,11.39,10.93,-0.36%,"50,632"
155,AFBI,"Affinity Bancshares, Inc.",Financial,Banks - Regional,USA,101.75M,15.85,15.80,1.94%,"11,756"
156,AFCG,"AFC Gamma, Inc.",Real Estate,REIT - Specialty,USA,321.44M,7.72,16.04,-0.12%,"87,573"
157,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,USA,11.07B,12.49,131.49,-2.46%,"355,952"
158,AFIB,"Acutus Medical, Inc.",Healthcare,Medical Devices,USA,47.62M,-,1.55,2.65%,"92,114"
159,AFIF,Anfield Universal Fixed Income ETF,Financial,Exchange Traded Fund,USA,-,-,8.88,-0.37%,"9,479"
160,AFK,VanEck Africa Index ETF,Financial,Exchange Traded Fund,USA,-,-,16.92,0.42%,"6,606"
162,AFLG,First Trust Active Factor Large Cap ETF,Financial,Exchange Traded Fund,USA,-,-,24.66,-0.12%,5
163,AFMD,Affimed N.V.,Healthcare,Biotechnology,Germany,159.10M,-,1.07,-0.93%,"1,126,980"
164,AFRI,Forafric Global PLC,Consumer Defensive,Farm Products,United Kingdom,300.03M,-,11.17,-1.67%,"49,271"
165,AFRM,"Affirm Holdings, Inc.",Technology,Software - Infrastructure,USA,4.03B,-,13.10,3.15%,"21,299,458"
166,AFT,Apollo Senior Floating Rate Fund Inc.,Financial,Asset Management,USA,194.69M,10.60,13.46,0.67%,"83,532"
167,AFTR,AfterNext HealthTech Acquisition Corp.,Financial,Shell Companies,USA,571.23M,22.82,10.13,-0.10%,697
168,AFTY,Pacer CSOP FTSE China A50 ETF,Financial,Exchange Traded Fund,USA,-,-,17.02,-0.73%,430
169,AFYA,Afya Limited,Consumer Defensive,Education & Training Services,Brazil,1.22B,18.60,13.56,-1.02%,"138,230"
170,AG,First Majestic Silver Corp.,Basic Materials,Silver,Canada,1.98B,3635.00,7.27,0.14%,"5,777,487"
171,AGAE,Allied Gaming & Entertainment Inc.,Communication Services,Entertainment,USA,55.04M,-,1.36,3.20%,"49,021"
172,AGBA,AGBA Group Holding Limited,Financial,Shell Companies,Hong Kong,145.99M,-,2.21,2.79%,"7,202"
173,AGCO,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery,USA,9.73B,11.35,134.76,-2.48%,"646,832"
174,AGD,Abrdn Global Dynamic Dividend Fund,Financial,Closed-End Fund - Foreign,USA,125.24M,2.80,9.98,0.40%,"41,821"
175,AGE,"AgeX Therapeutics, Inc.",Healthcare,Biotechnology,USA,23.82M,-,0.59,0.42%,"6,362"
176,AGEN,Agenus Inc.,Healthcare,Biotechnology,USA,645.26M,-,2.19,-0.90%,"2,792,281"
177,AGFS,"AgroFresh Solutions, Inc.",Consumer Defensive,Farm Products,USA,158.63M,-,2.98,0.00%,"88,477"
178,AGFY,Agrify Corporation,Industrials,Engineering & Construction,USA,9.31M,-,0.40,2.56%,"354,859"
179,AGG,iShares Core U.S. Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,98.37,-0.35%,"9,559,494"
180,AGGR,Agile Growth Corp.,Financial,Shell Companies,USA,394.08M,46.04,10.18,-0.05%,"1,168"
182,AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada,5.60B,118.65,10.56,0.28%,"2,580,181"
183,AGIL,"AgileThought, Inc.",Technology,Software - Application,USA,220.59M,-,4.45,-1.11%,"4,117"
184,AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,1.57B,-,28.21,-2.42%,"505,741"
185,AGL,"agilon health, inc.",Healthcare,Medical Care Facilities,USA,9.65B,-,23.13,1.14%,"1,054,446"
186,AGLE,"Aeglea BioTherapeutics, Inc.",Healthcare,Biotechnology,USA,29.64M,-,0.48,-7.69%,"330,485"
187,AGM,Federal Agricultural Mortgage Corporation,Financial,Credit Services,USA,1.42B,10.34,137.17,-1.05%,"56,164"
188,AGMH,AGM Group Holdings Inc.,Technology,Software - Application,Hong Kong,41.63M,1.91,1.65,0.61%,"11,211"
189,AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA,6.62B,-,11.41,-0.26%,"9,396,907"
190,AGNCL,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA,6.59B,-,23.39,0.39%,"43,497"
191,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,3.63B,14.85,61.93,-1.12%,"182,405"
192,AGOX,Adaptive Alpha Opportunities ETF,Financial,Exchange Traded Fund,USA,-,-,22.36,0.46%,"6,255"
193,AGQ,ProShares Ultra Silver,Financial,Exchange Traded Fund,USA,-,-,26.18,-0.95%,"640,756"
194,AGR,"Avangrid, Inc.",Utilities,Utilities - Regulated Electric,USA,15.33B,17.51,40.59,-0.88%,"378,528"
195,AGRI,AgriFORCE Growing Systems Ltd.,Consumer Defensive,Farm Products,Canada,18.17M,-,1.19,3.48%,"63,519"
196,AGRO,Adecoagro S.A.,Consumer Defensive,Farm Products,Luxembourg,860.11M,5.39,7.92,-1.25%,"546,445"
197,AGRX,"Agile Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,10.40M,-,0.27,1.69%,"238,777"
198,AGS,"PlayAGS, Inc.",Consumer Cyclical,Gambling,USA,254.62M,-,6.69,3.56%,"434,641"
199,AGTI,"Agiliti, Inc.",Healthcare,Health Information Services,USA,2.53B,71.28,18.89,0.80%,"161,024"
200,AGX,"Argan, Inc.",Industrials,Engineering & Construction,USA,524.22M,25.94,38.86,-1.40%,"60,472"
202,AGZ,iShares Agency Bond ETF,Financial,Exchange Traded Fund,USA,-,-,107.08,-0.18%,"23,041"
203,AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,-,-,43.98,0.10%,"55,186"
204,AHCO,AdaptHealth Corp.,Healthcare,Medical Devices,USA,2.79B,33.13,21.07,-0.47%,"630,362"
205,AHG,Akso Health Group,Healthcare,Medical Distribution,China,9.95M,-,0.42,1.54%,"17,781"
206,AHH,"Armada Hoffler Properties, Inc.",Real Estate,REIT - Diversified,USA,1.18B,16.67,13.47,6.57%,"667,169"
207,AHI,Advanced Health Intelligence Ltd.,Technology,Software - Application,Australia,14.63M,-,0.48,-1.49%,"30,772"
208,AHRN,Ahren Acquisition Corp.,Financial,Shell Companies,Cayman Islands,387.56M,44.17,10.34,-0.05%,100
209,AHT,"Ashford Hospitality Trust, Inc.",Real Estate,REIT - Hotel & Motel,USA,221.29M,-,6.23,0.00%,"263,296"
210,AI,"C3.ai, Inc.",Technology,Information Technology Services,USA,2.51B,-,23.31,10.26%,"27,974,181"
211,AIA,iShares Asia 50 ETF,Financial,Exchange Traded Fund,USA,-,-,63.70,-0.50%,"56,935"
212,AIEQ,AI Powered Equity ETF,Financial,Exchange Traded Fund,USA,-,-,31.90,1.65%,"22,914"
213,AIF,Apollo Tactical Income Fund Inc.,Financial,Asset Management,USA,189.19M,10.30,13.08,0.46%,"41,456"
214,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,45.37B,3.65,61.52,-0.71%,"3,756,203"
215,AIH,Aesthetic Medical International Holdings Group Limited,Healthcare,Medical Care Facilities,China,45.00M,-,1.35,2.40%,264
216,AIHS,Senmiao Technology Limited,Financial,Credit Services,China,7.36M,-,0.94,2.39%,"26,503"
217,AIM,AIM ImmunoTech Inc.,Healthcare,Biotechnology,USA,24.18M,-,0.50,-5.52%,"207,321"
218,AIMC,Altra Industrial Motion Corp.,Industrials,Specialty Industrial Machinery,USA,4.01B,246.20,61.55,0.10%,"720,024"
219,AIMD,"Ainos, Inc.",Healthcare,Biotechnology,USA,16.00M,-,0.76,5.00%,805
220,AIN,Albany International Corp.,Consumer Cyclical,Textile Manufacturing,USA,3.23B,31.30,104.51,-4.81%,"638,860"
222,AIO,Virtus Artificial Intelligence & Technology Opportunities Fund,Financial,Closed-End Fund - Equity,USA,602.68M,2.29,17.55,0.86%,"70,630"
223,AIP,"Arteris, Inc.",Technology,Semiconductors,USA,200.82M,-,5.86,-1.18%,"30,765"
224,AIQ,Global X Artificial Intelligence & Technology ETF,Financial,Exchange Traded Fund,USA,-,-,23.69,0.47%,"6,976"
225,AIR,AAR Corp.,Industrials,Aerospace & Defense,USA,1.83B,21.16,53.65,2.76%,"267,295"
226,AIRC,Apartment Income REIT Corp.,Real Estate,REIT - Residential,USA,5.97B,6.66,40.19,1.70%,"1,401,115"
227,AIRG,"Airgain, Inc.",Technology,Communication Equipment,USA,78.89M,-,7.78,-0.64%,"6,378"
228,AIRI,Air Industries Group,Industrials,Aerospace & Defense,USA,16.86M,11.58,5.15,-2.37%,"1,210"
229,AIRR,First Trust RBA American Industrial RenaissanceTM ETF,Financial,Exchange Traded Fund,USA,-,-,49.38,-0.04%,"24,869"
230,AIRS,"AirSculpt Technologies, Inc.",Healthcare,Medical Care Facilities,USA,415.02M,-,7.02,4.00%,"248,659"
231,AIRT,"Air T, Inc.",Industrials,Integrated Freight & Logistics,USA,65.01M,157.29,22.65,-1.52%,"2,458"
232,AIT,"Applied Industrial Technologies, Inc.",Industrials,Industrial Distribution,USA,5.56B,18.27,142.29,-0.92%,"176,471"
233,AIU,Meta Data Limited,Consumer Defensive,Education & Training Services,Hong Kong,17.21M,-,1.17,0.00%,"8,999"
234,AIV,Apartment Investment and Management Company,Real Estate,REIT - Residential,USA,1.16B,4.27,7.67,-0.78%,"406,941"
235,AIZ,"Assurant, Inc.",Financial,Insurance - Specialty,USA,6.82B,25.83,130.25,-2.49%,"295,342"
236,AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA,39.54B,36.21,188.25,-3.57%,"708,953"
237,AJRD,"Aerojet Rocketdyne Holdings, Inc.",Industrials,Aerospace & Defense,USA,4.52B,49.31,56.16,0.61%,"1,559,015"
